skill_match_percentage,critical_skill_match_percentage,missing_skills_count,critical_missing_skills_count,optional_skill_match_percentage,project_relevance_score,certification_relevance_score,internship_relevance_score,resume_completeness_score,keyword_match_score,role_category_match_score,readiness_label
63,54,17,2,69,70,60,55,67,75,79,Moderately Ready
82,76,0,0,100,100,80,63,71,75,87,Highly Ready
42,6,0,11,53,10,8,6,16,48,26,Not Ready Yet
93,67,13,12,57,76,78,44,87,59,68,Moderately Ready
29,73,0,1,12,50,48,7,59,13,56,Needs Improvement
84,85,0,0,28,78,68,89,64,89,92,Highly Ready
90,78,7,0,80,95,74,45,52,58,100,Highly Ready
65,53,8,8,46,62,43,36,80,73,74,Moderately Ready
32,38,10,0,28,48,6,48,75,38,14,Needs Improvement
54,68,0,8,56,50,49,65,50,59,84,Moderately Ready
71,34,1,8,54,55,60,65,70,69,37,Needs Improvement
69,34,11,10,21,69,29,39,62,18,25,Needs Improvement
84,64,9,7,10,53,31,54,68,79,69,Moderately Ready
64,61,0,3,78,67,72,89,62,72,64,Moderately Ready
57,77,17,0,52,88,73,100,91,66,71,Moderately Ready
92,67,10,1,95,64,31,65,70,84,45,Moderately Ready
24,20,20,11,52,46,16,22,29,9,35,Not Ready Yet
81,62,0,0,48,58,83,93,88,84,58,Highly Ready
37,49,14,11,57,34,33,35,59,66,29,Needs Improvement
63,43,0,12,68,84,52,50,55,60,84,Moderately Ready
88,78,0,6,69,65,68,68,60,78,85,Highly Ready
37,47,10,0,84,41,48,39,80,48,35,Needs Improvement
31,19,5,10,48,9,27,51,29,42,53,Not Ready Yet
3,21,20,6,54,15,36,25,20,12,20,Not Ready Yet
96,66,12,1,72,66,96,50,93,100,75,Highly Ready
47,1,11,3,24,46,14,42,50,21,25,Needs Improvement
75,100,17,5,88,100,68,69,65,79,74,Highly Ready
31,41,0,12,89,22,0,13,33,16,2,Not Ready Yet
84,97,5,0,99,72,72,46,100,80,100,Highly Ready
51,30,6,12,94,58,33,47,60,58,35,Needs Improvement
34,69,8,8,52,33,27,62,64,44,33,Needs Improvement
78,100,4,12,57,88,59,53,66,66,65,Highly Ready
37,70,0,0,35,38,49,44,62,56,70,Needs Improvement
41,26,9,12,35,25,43,12,50,47,25,Needs Improvement
38,52,0,0,69,83,92,83,87,80,46,Moderately Ready
82,88,7,1,61,89,70,100,80,93,82,Highly Ready
71,70,0,0,46,67,68,96,95,79,77,Highly Ready
53,80,7,0,38,74,67,82,77,62,77,Moderately Ready
39,19,0,6,23,41,57,50,64,22,52,Not Ready Yet
36,16,0,3,15,41,20,41,48,28,20,Needs Improvement
79,85,0,1,70,48,35,65,71,72,50,Moderately Ready
8,35,0,0,68,19,37,12,49,32,24,Not Ready Yet
80,51,0,0,39,48,27,62,63,48,84,Moderately Ready
53,62,0,0,68,41,31,56,54,81,33,Needs Improvement
69,82,3,11,61,67,33,46,73,68,59,Moderately Ready
70,66,0,0,99,78,89,99,78,64,69,Highly Ready
68,24,8,12,72,51,26,7,55,21,67,Needs Improvement
45,46,0,12,30,65,62,83,59,57,50,Moderately Ready
72,82,15,5,43,57,62,60,66,93,100,Highly Ready
62,51,20,4,29,60,27,26,47,76,60,Moderately Ready
54,43,7,10,64,27,78,0,75,57,50,Needs Improvement
96,79,0,0,27,97,69,86,76,70,100,Highly Ready
84,100,0,11,27,86,87,60,85,92,92,Highly Ready
65,75,0,4,4,60,100,87,62,74,100,Highly Ready
13,41,20,0,21,33,31,0,28,43,41,Not Ready Yet
11,11,18,4,55,43,26,19,26,42,42,Not Ready Yet
37,40,20,7,73,34,69,17,59,7,21,Not Ready Yet
83,93,5,0,90,99,98,81,84,87,51,Highly Ready
91,88,0,0,85,56,93,66,100,96,91,Highly Ready
23,23,20,3,52,25,17,9,33,35,35,Not Ready Yet
33,35,15,9,89,31,28,56,36,49,64,Needs Improvement
0,32,13,9,20,42,59,41,62,50,56,Needs Improvement
80,84,1,5,58,100,54,78,56,55,70,Highly Ready
75,94,14,7,27,85,68,94,79,93,77,Highly Ready
49,26,0,4,87,79,56,74,73,95,88,Moderately Ready
14,29,19,0,73,19,0,53,29,45,35,Not Ready Yet
61,72,16,8,32,73,67,32,72,78,48,Moderately Ready
68,58,0,4,100,35,13,69,57,36,64,Needs Improvement
14,43,13,8,81,4,36,42,14,15,13,Not Ready Yet
81,67,13,0,37,45,36,34,69,47,50,Moderately Ready
72,39,11,3,53,23,30,45,86,44,57,Needs Improvement
90,51,0,6,33,77,34,92,67,85,52,Moderately Ready
67,49,0,1,34,61,59,61,65,83,64,Moderately Ready
43,38,4,12,73,23,53,53,59,36,44,Not Ready Yet
78,71,14,2,95,91,75,83,93,99,68,Highly Ready
23,62,0,12,11,61,37,51,37,20,70,Needs Improvement
74,63,0,12,38,73,100,99,85,82,86,Highly Ready
67,83,12,3,95,84,100,96,93,97,58,Moderately Ready
36,8,6,2,13,28,5,21,15,57,23,Needs Improvement
85,44,5,4,15,61,70,72,92,56,71,Moderately Ready
38,69,0,12,77,78,75,63,50,52,59,Moderately Ready
69,83,7,0,75,48,96,24,96,41,65,Moderately Ready
27,10,20,12,43,34,37,16,24,60,6,Not Ready Yet
68,78,7,0,59,41,54,53,80,91,52,Moderately Ready
83,67,7,6,14,76,57,44,92,91,60,Highly Ready
76,68,6,0,39,74,31,64,69,54,74,Moderately Ready
95,81,7,0,38,79,79,100,100,80,85,Highly Ready
67,56,0,7,65,59,61,72,66,38,68,Moderately Ready
55,58,12,7,13,48,84,69,66,59,61,Moderately Ready
8,28,19,5,99,12,34,33,41,19,15,Not Ready Yet
99,86,10,1,51,94,66,83,93,82,75,Highly Ready
55,75,0,0,93,75,72,66,83,73,65,Moderately Ready
36,17,20,0,0,31,30,25,35,7,39,Not Ready Yet
78,88,2,2,34,75,87,55,71,50,86,Highly Ready
25,28,12,0,15,41,9,43,69,31,40,Needs Improvement
91,75,0,1,43,82,90,73,92,75,64,Highly Ready
8,29,5,0,52,22,41,29,21,66,19,Not Ready Yet
87,100,4,11,20,72,49,63,82,67,82,Highly Ready
66,56,0,12,0,60,30,41,76,59,56,Moderately Ready
34,36,0,0,76,49,57,54,83,66,58,Needs Improvement
56,62,0,0,39,32,27,50,51,22,36,Needs Improvement
42,14,12,12,45,30,1,35,52,56,11,Not Ready Yet
62,56,6,0,58,64,80,40,84,90,78,Moderately Ready
15,44,20,0,59,30,2,37,30,38,4,Not Ready Yet
63,22,3,6,98,43,42,61,41,38,61,Needs Improvement
71,64,19,5,48,25,58,20,82,22,40,Needs Improvement
56,53,0,12,76,52,57,16,25,43,53,Needs Improvement
94,69,0,0,55,52,32,57,65,86,76,Moderately Ready
62,64,11,4,30,49,41,37,47,46,32,Needs Improvement
38,65,15,4,32,36,25,68,78,40,58,Needs Improvement
21,12,14,0,51,40,15,14,19,1,25,Not Ready Yet
68,88,6,0,0,88,57,75,100,78,95,Highly Ready
18,15,15,0,62,37,4,50,55,32,21,Not Ready Yet
71,79,0,9,10,53,89,69,55,84,49,Moderately Ready
25,23,10,12,68,17,14,44,30,39,13,Not Ready Yet
40,48,6,5,27,30,37,45,49,33,68,Needs Improvement
63,68,0,6,0,64,42,66,69,75,86,Moderately Ready
44,70,6,1,90,64,64,49,81,44,50,Moderately Ready
58,48,2,0,83,74,87,99,72,58,92,Highly Ready
97,99,7,2,64,81,47,89,94,60,64,Highly Ready
31,39,11,0,54,47,22,38,36,46,36,Needs Improvement
30,38,9,3,74,56,60,43,50,16,54,Needs Improvement
68,44,4,8,3,86,18,47,61,41,64,Highly Ready
51,59,0,12,59,72,55,82,70,40,73,Moderately Ready
81,67,2,0,89,66,60,63,78,100,100,Highly Ready
59,40,8,7,91,59,71,40,88,60,36,Moderately Ready
49,49,11,0,44,61,43,42,48,51,66,Needs Improvement
34,27,20,4,33,0,45,11,53,51,23,Not Ready Yet
30,33,10,0,2,55,52,20,51,27,21,Needs Improvement
78,49,0,0,68,88,74,65,83,60,64,Needs Improvement
100,100,0,5,98,66,88,73,67,93,100,Highly Ready
49,84,12,12,26,80,25,33,62,66,52,Moderately Ready
93,73,9,10,59,61,59,96,66,90,83,Highly Ready
94,75,0,0,51,100,82,46,84,86,73,Highly Ready
50,28,14,12,45,53,38,61,36,55,49,Needs Improvement
65,60,15,0,100,80,71,42,85,67,49,Moderately Ready
75,62,7,0,17,67,72,45,63,56,66,Moderately Ready
98,77,0,0,75,50,70,35,47,74,68,Moderately Ready
38,24,8,1,16,60,18,72,36,52,59,Needs Improvement
88,71,8,0,19,52,72,63,82,53,93,Highly Ready
27,46,19,3,39,29,20,26,36,16,12,Not Ready Yet
29,62,7,12,11,39,63,55,40,60,34,Needs Improvement
70,50,11,2,80,66,39,24,77,71,78,Moderately Ready
42,47,10,1,34,78,34,49,86,27,56,Needs Improvement
79,77,7,3,55,71,33,72,80,55,85,Moderately Ready
13,5,0,6,38,19,9,35,30,23,16,Not Ready Yet
55,71,0,0,87,54,67,45,47,73,77,Moderately Ready
79,88,16,12,85,69,79,21,86,46,46,Highly Ready
90,54,6,1,17,71,69,91,58,86,51,Moderately Ready
49,60,2,0,39,37,41,49,46,30,49,Needs Improvement
8,16,20,8,0,32,10,10,50,41,12,Not Ready Yet
74,67,0,0,79,89,45,67,66,63,72,Highly Ready
92,80,10,0,89,75,80,38,79,88,59,Highly Ready
42,45,19,2,48,39,59,42,42,51,48,Needs Improvement
0,46,9,4,5,13,29,34,43,26,45,Not Ready Yet
47,84,15,8,100,81,24,97,51,71,87,Moderately Ready
50,64,18,0,56,49,81,50,50,66,73,Moderately Ready
62,73,20,0,33,100,73,59,88,64,89,Highly Ready
44,64,3,0,0,94,87,42,63,71,74,Moderately Ready
24,44,14,12,16,0,14,14,27,31,55,Not Ready Yet
21,25,6,9,47,17,22,36,26,49,42,Not Ready Yet
9,32,20,12,39,7,20,0,54,19,56,Not Ready Yet
69,64,0,12,10,76,65,53,74,95,69,Highly Ready
35,37,5,7,66,31,38,12,57,66,40,Needs Improvement
54,55,18,0,89,43,31,14,85,44,48,Needs Improvement
86,92,6,9,75,84,73,84,77,84,100,Highly Ready
56,24,12,5,19,24,68,16,66,67,42,Needs Improvement
62,49,20,0,53,80,54,50,84,55,56,Moderately Ready
27,52,6,6,18,69,56,18,65,47,56,Needs Improvement
81,76,4,0,100,86,50,87,69,82,70,Highly Ready
23,19,20,12,80,36,21,39,52,17,21,Not Ready Yet
0,34,6,0,98,20,42,43,34,30,30,Not Ready Yet
15,27,20,5,41,3,11,7,56,44,29,Not Ready Yet
24,47,0,0,54,43,34,40,52,73,43,Needs Improvement
59,64,9,6,46,89,66,53,85,73,57,Moderately Ready
79,96,0,0,53,92,59,78,80,86,100,Highly Ready
83,60,0,0,16,28,27,31,97,39,79,Moderately Ready
85,82,20,12,85,93,62,53,67,66,56,Moderately Ready
51,40,19,12,12,41,46,32,64,39,60,Needs Improvement
45,42,20,1,69,45,66,60,64,34,32,Needs Improvement
40,22,0,0,42,0,0,42,53,45,21,Not Ready Yet
96,74,13,6,21,62,77,85,69,100,100,Highly Ready
30,44,8,9,45,42,35,37,57,35,41,Needs Improvement
63,28,18,4,50,13,26,54,38,40,27,Needs Improvement
33,24,8,3,53,51,18,56,40,33,62,Needs Improvement
42,44,13,7,20,47,19,17,68,53,49,Needs Improvement
96,75,0,0,40,71,56,81,68,82,97,Highly Ready
57,59,20,7,52,29,56,24,53,34,45,Needs Improvement
62,33,20,3,86,55,55,8,66,28,24,Needs Improvement
83,63,5,0,14,100,52,98,81,97,82,Highly Ready
62,69,2,1,79,45,46,31,70,16,42,Needs Improvement
45,58,1,11,70,83,85,87,67,64,66,Moderately Ready
91,79,17,1,83,100,42,60,65,57,63,Highly Ready
53,24,20,0,18,46,12,28,60,62,37,Needs Improvement
22,21,11,9,0,26,44,48,43,19,15,Not Ready Yet
49,22,9,12,34,42,20,52,73,63,35,Needs Improvement
67,90,7,0,69,57,93,78,84,76,54,Highly Ready
52,35,14,0,99,71,26,17,59,65,33,Needs Improvement
14,19,20,12,53,11,7,28,8,18,23,Not Ready Yet
27,33,20,12,90,0,8,36,58,37,33,Not Ready Yet
37,27,14,12,57,0,42,2,50,8,36,Not Ready Yet
50,48,20,12,9,69,29,65,51,26,79,Needs Improvement
97,83,4,0,21,48,99,61,83,86,87,Highly Ready
62,24,6,5,90,47,51,20,35,36,61,Needs Improvement
74,67,6,0,79,44,77,75,58,60,50,Needs Improvement
81,49,1,3,34,48,43,26,62,42,54,Needs Improvement
38,38,18,0,20,57,40,51,43,45,52,Needs Improvement
49,44,9,7,88,52,48,48,39,65,51,Needs Improvement
29,20,3,0,37,58,64,63,61,80,43,Needs Improvement
49,89,20,0,19,49,74,53,84,77,89,Moderately Ready
28,39,20,1,60,19,63,43,44,37,39,Needs Improvement
51,2,13,6,97,30,6,42,34,22,23,Not Ready Yet
46,44,11,5,0,56,70,75,40,37,60,Needs Improvement
50,53,0,0,31,43,35,27,61,55,72,Needs Improvement
54,37,19,2,51,87,50,43,84,47,79,Moderately Ready
58,58,18,12,91,69,63,53,55,40,58,Needs Improvement
28,30,4,4,80,45,37,57,70,32,35,Needs Improvement
86,87,0,12,27,88,48,87,55,59,82,Moderately Ready
98,71,1,5,23,85,50,83,99,62,81,Highly Ready
38,85,19,12,36,76,60,54,75,61,56,Moderately Ready
90,89,0,0,15,88,100,53,64,100,95,Highly Ready
73,69,13,5,53,65,92,89,85,88,94,Highly Ready
6,14,20,5,38,19,40,0,31,21,9,Not Ready Yet
64,50,0,0,88,47,34,59,73,54,64,Moderately Ready
58,76,2,0,78,76,70,42,50,83,62,Moderately Ready
49,45,4,12,97,42,4,29,60,18,68,Needs Improvement
51,64,3,0,54,61,16,45,63,28,54,Needs Improvement
99,71,3,2,51,51,61,88,57,69,57,Moderately Ready
78,54,5,12,0,57,56,76,55,81,79,Moderately Ready
43,13,12,12,58,17,0,16,29,11,38,Not Ready Yet
54,83,17,0,24,77,32,58,53,53,73,Moderately Ready
50,65,8,12,50,61,49,84,63,19,44,Needs Improvement
14,38,0,8,36,18,10,47,34,25,0,Not Ready Yet
86,64,0,4,63,96,100,63,68,64,70,Highly Ready
77,48,6,0,73,49,26,33,79,38,48,Moderately Ready
24,33,12,8,20,13,0,41,25,33,37,Not Ready Yet
48,45,10,4,2,48,69,32,40,45,39,Needs Improvement
55,61,0,7,75,71,46,18,68,64,27,Needs Improvement
38,45,9,8,84,34,8,28,47,36,64,Needs Improvement
74,62,5,6,4,47,59,53,100,85,62,Moderately Ready
75,75,11,1,62,67,97,67,83,73,60,Highly Ready
81,82,8,8,88,79,55,95,92,82,97,Highly Ready
18,5,11,9,78,50,10,33,54,13,8,Not Ready Yet
61,36,0,0,27,80,59,40,78,78,67,Needs Improvement
26,37,0,0,82,59,56,11,50,49,54,Needs Improvement
62,74,4,0,58,70,72,37,65,76,47,Moderately Ready
17,47,16,6,18,6,14,37,39,52,29,Not Ready Yet
100,100,0,4,34,79,75,81,61,82,76,Highly Ready
63,52,2,0,17,81,23,49,72,65,68,Moderately Ready
55,55,0,4,18,78,50,53,66,52,77,Moderately Ready
71,51,0,10,43,48,57,55,71,85,40,Moderately Ready
61,37,16,5,44,45,43,63,73,47,54,Needs Improvement
67,67,0,2,18,84,66,54,57,73,88,Moderately Ready
43,28,20,9,39,53,24,50,39,54,39,Needs Improvement
56,28,6,2,47,38,15,39,48,43,59,Needs Improvement
25,17,20,12,5,37,0,17,2,34,47,Not Ready Yet
69,69,0,0,11,81,69,54,64,68,65,Needs Improvement
60,99,17,0,35,95,83,90,61,86,98,Highly Ready
80,75,10,0,62,67,68,56,74,56,66,Moderately Ready
39,33,10,12,32,50,7,48,73,34,33,Needs Improvement
98,62,3,6,88,55,66,75,51,64,68,Moderately Ready
82,98,4,0,91,78,90,97,100,71,62,Highly Ready
67,88,17,3,100,48,63,61,70,51,43,Moderately Ready
24,40,16,2,61,42,20,45,31,18,18,Not Ready Yet
43,38,12,0,6,59,44,31,53,35,49,Needs Improvement
69,34,0,1,64,75,36,76,62,81,66,Moderately Ready
59,94,0,0,6,85,99,100,98,65,64,Highly Ready
79,80,0,12,91,84,57,74,54,65,68,Highly Ready
58,28,0,1,65,19,56,78,67,47,49,Needs Improvement
64,38,0,0,44,49,16,35,49,43,36,Needs Improvement
79,92,18,0,26,89,68,47,76,100,61,Highly Ready
70,78,20,6,67,50,78,55,59,46,56,Moderately Ready
96,47,0,9,99,84,54,75,95,59,83,Highly Ready
37,28,14,0,92,57,24,59,75,58,47,Needs Improvement
41,32,20,0,90,13,18,31,21,12,0,Not Ready Yet
68,42,2,3,33,68,48,66,55,71,73,Moderately Ready
85,85,0,0,84,70,28,47,75,62,85,Moderately Ready
60,46,9,5,34,81,70,81,83,63,72,Moderately Ready
70,61,20,0,80,39,46,0,65,31,63,Needs Improvement
9,29,12,0,5,7,15,17,15,22,6,Not Ready Yet
66,64,0,4,43,83,61,42,92,87,96,Highly Ready
46,79,1,0,8,68,40,60,78,46,45,Moderately Ready
86,36,7,2,11,77,44,37,64,51,73,Moderately Ready
81,12,18,1,94,26,45,61,50,61,32,Needs Improvement
36,46,5,12,89,25,16,66,30,76,46,Needs Improvement
84,70,0,3,25,77,82,62,88,100,96,Highly Ready
61,67,0,8,0,95,56,59,89,100,75,Highly Ready
94,82,7,8,32,75,100,90,98,96,73,Highly Ready
47,57,7,3,88,82,30,65,78,57,78,Moderately Ready
65,41,0,7,17,46,60,47,40,60,25,Needs Improvement
37,17,11,12,49,25,25,48,37,24,48,Not Ready Yet
33,13,19,12,81,29,53,4,41,30,57,Not Ready Yet
58,94,6,11,37,66,44,38,50,51,77,Moderately Ready
83,89,8,1,63,83,80,62,83,72,68,Highly Ready
83,51,1,2,77,71,33,48,54,70,55,Highly Ready
50,50,9,0,98,36,32,44,67,72,29,Needs Improvement
74,68,19,12,94,64,58,36,74,49,75,Moderately Ready
97,81,0,2,39,93,43,53,84,57,96,Highly Ready
52,42,3,3,32,56,51,71,40,49,68,Needs Improvement
41,63,8,12,41,46,39,72,86,71,59,Moderately Ready
70,64,13,0,31,73,62,44,59,65,73,Moderately Ready
51,43,20,5,45,59,65,14,56,23,60,Needs Improvement
33,33,15,9,59,18,30,12,21,36,41,Not Ready Yet
25,40,0,8,88,23,31,35,42,16,34,Not Ready Yet
83,67,8,4,33,97,80,100,74,96,85,Highly Ready
62,51,1,9,59,52,64,42,56,52,59,Moderately Ready
13,30,17,12,59,21,13,16,55,30,20,Not Ready Yet
14,18,20,12,51,23,25,42,41,37,41,Not Ready Yet
46,58,6,12,88,63,43,69,36,54,50,Needs Improvement
79,82,0,0,100,68,95,66,81,72,89,Highly Ready
42,80,0,12,37,38,46,45,67,74,44,Moderately Ready
28,45,6,10,60,65,49,53,77,36,45,Needs Improvement
40,23,17,8,37,10,30,26,35,8,34,Not Ready Yet
44,31,0,12,35,22,47,15,46,38,31,Not Ready Yet
55,53,13,12,30,62,32,58,38,75,57,Needs Improvement
77,83,8,0,65,61,64,75,81,72,44,Highly Ready
21,9,14,3,96,29,51,21,52,36,22,Not Ready Yet
11,8,20,8,81,24,16,18,35,25,36,Not Ready Yet
91,74,15,0,27,75,30,51,79,98,52,Moderately Ready
57,43,3,0,67,53,32,49,60,72,45,Moderately Ready
73,79,0,12,32,68,100,78,95,97,79,Highly Ready
76,48,10,10,66,73,60,46,59,53,53,Moderately Ready
19,9,20,12,49,11,21,43,47,23,49,Needs Improvement
68,64,13,0,40,76,68,52,73,62,71,Moderately Ready
58,29,6,12,47,21,17,27,46,66,33,Needs Improvement
78,69,0,0,21,74,63,24,69,81,51,Moderately Ready
82,73,5,0,27,81,89,80,97,58,73,Highly Ready
54,37,6,5,0,41,24,43,72,29,21,Needs Improvement
68,50,2,10,38,78,69,57,52,37,60,Moderately Ready
66,57,20,4,12,43,53,40,47,63,38,Needs Improvement
41,44,12,0,39,14,0,23,30,36,51,Not Ready Yet
94,88,0,0,55,78,96,51,90,71,90,Highly Ready
83,58,0,12,0,80,94,86,80,79,72,Highly Ready
51,41,14,0,43,17,19,26,44,42,47,Needs Improvement
56,19,5,2,93,23,23,56,46,28,62,Needs Improvement
90,58,15,1,12,53,75,25,68,70,45,Moderately Ready
75,72,0,0,75,97,86,53,86,81,70,Highly Ready
78,82,9,0,60,83,53,56,57,51,50,Moderately Ready
90,60,11,0,36,87,90,86,100,68,88,Highly Ready
4,34,8,4,90,31,53,33,55,38,49,Not Ready Yet
64,84,15,0,21,71,43,90,50,67,77,Highly Ready
30,42,5,0,67,48,51,41,35,67,68,Needs Improvement
97,89,0,0,95,82,100,37,91,76,61,Highly Ready
64,100,0,0,69,67,46,74,97,77,88,Highly Ready
73,67,0,0,0,86,72,77,62,74,68,Moderately Ready
23,54,9,6,13,64,22,32,48,49,51,Needs Improvement
80,79,0,0,2,99,87,40,75,89,61,Highly Ready
89,76,0,2,97,59,69,100,60,100,89,Highly Ready
